sid,uzivatel_sid,verejny_cinnitel_sid,"fun_politicka_funkcia","fun_funkcne_obdobie_od","fun_funkcne_obdobie_do","fun_kandidoval_strana"
566,108,579,"bez verejnej funkcie","","","Sloboda a Solidarita"
567,274,300,"bez verejnej funkcie","","","SaS"
568,274,580,"bez verejnej funkcie","","","SaS"
570,357,582,"starosta obce Kolíňany ","2007","","KDH / SMK - MKP"
571,357,583,"starosta obce Kolíňany ","2007","","KDH / SMK - MKP"
572,76,104,"bez verejnej funkcie","2009","","Zakladajúci člen SaS"
573,76,584,"bez verejnej funkcie","2009","","Zakladajúci člen SaS"
574,250,276,"Kandidát na poslanca VÚC","","","Sloboda a Solidarita"
575,329,355,"Sympatizant SaS","","","SaS"
576,251,585,"kandidát na poslanca do VUC PSK","2009","","SaS"
577,250,586,"Kandidát na poslanca VÚC","","","Sloboda a Solidarita"
579,192,218,"bez verejnej funkcie","","","SaS"
580,192,588,"bez verejnej funkcie","","","SaS"
581,68,589,"Poslanec NR SR","2002","","SDKÚ-DS"
582,68,589,"Poslanec BBSK","2005","","SDKÚ-DS"
583,224,250,"člen SDKÚ","2003","2005","SDKÚ"
586,68,590,"Poslanec NR SR","2002","","SDKÚ-DS"
587,68,590,"Poslanec BBSK","2005","","SDKÚ-DS"
588,317,343,"bez verejnej funkcie","2009","","nie"
589,68,591,"Poslanec NR SR","2002","","SDKÚ-DS"
590,68,591,"Poslanec BBSK","2005","","SDKÚ-DS"
592,311,593,"simpatizant","","2009","SaS"
593,311,594,"simpatizant","","2009","SaS"
941,379,836,"člen strany","2009","","KDS"
595,306,596,"kandidat za poslanca VÚC","","","SaS"
596,205,231,"kandidát za poslanca VÚC","","","Sloboda a Solidarita"
597,292,597,"bez verejnej funkcie","","","Sloboda a Solidarita"
598,158,185,"bez verejnej funkcie","","","prebieha kandidátka za stranu SAS do VÚC"
600,233,259,"žiadna","","","SaS"
601,97,599,"žiadna","","","zatial so nekandidoval"
602,257,283,"kandidát na poslanca do VÚC","2009","","Sloboda a Solidarita"
603,257,283,"kandidát na poslanca VÚC Prešov","2009","","Sloboda a Solidarita"
604,160,187,"žiadna","","","SAS"
605,211,237,"žiadna","","","SaS"
